Gestioni collegate complete;Att. IVA;Regime IVA;Sez.;Protocollo;Data registrazione;Numero;Data doc.;Data ricezione;Fornitore;Tipo doc.;Totale documento;Netto a pagare;Ritenuta;Valuta;Causale;Allegati
Si;1;Normale;1;100;26-02-2026;872275;21-02-2026;26-02-2026;EDENRED ITALIA SRL;Fattura;6,10;6,10;0,00;EUR;1;No
Si;1;Normale;1;99;26-02-2026;70;17-02-2026;26-02-2026;ODONTOCAP S.R.L.;Fattura;4.479,50;0,00;0,00;EUR;1;No
Si;1;Normale;1;98;25-02-2026;2;25-02-2026;25-02-2026;NISI FRANCESCO GIUSEPPE;Nota di credito;402,00;402,00;0,00;EUR;3;No
Si;1;Normale;1;97;20-02-2026;ML-478;20-02-2026;20-02-2026;DOT IMPRESA S.R.L.;Fattura;306,80;306,80;0,00;EUR;1;Si
Si;1;Normale;1;96;20-02-2026;16;18-02-2026;20-02-2026;FARANDA ROSARIO;Fattura;4.292,37;3.434,30;858,07;EUR;1;No
Si;1;Normale;1;95;19-02-2026;3901002622;18-02-2026;19-02-2026;DEUTSCHE BANK S.P.A.;Fattura;445,35;445,35;0,00;EUR;1;No
Si;1;Normale;1;94;19-02-2026;3901002609;18-02-2026;19-02-2026;DEUTSCHE BANK S.P.A.;Fattura;2.173,21;2.173,21;0,00;EUR;1;No
Si;1;Normale;1;93;19-02-2026;V012601291967;18-02-2026;19-02-2026;SORGENIA S.P.A;Fattura;834,51;834,51;0,00;EUR;1;Si
Si;1;Normale;1;92;19-02-2026;4109626633;18-02-2026;19-02-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;502,78;502,78;0,00;EUR;202;No
Si;1;Normale;1;91;18-02-2026;G06420;11-02-2026;18-02-2026;EDENRED ITALIA SRL;Nota di debito;1.117,00;1.117,00;0,00;EUR;4;No
Si;1;Normale;1;90;18-02-2026;9/S01;31-01-2026;18-02-2026;FBM HEALTHCARE SRL UNIPERSONALE;Fattura;90,57;90,57;0,00;EUR;202;Si
Si;1;Normale;1;89;17-02-2026;90/2026;17-02-2026;17-02-2026;CONFIDENT COMMERCIALE HOLDING S.P.A. SOCIETA' BENEFIT;Fattura;6.221,77;6.221,77;0,00;EUR;1;Si
Si;1;Normale;1;88;16-02-2026;233706;11-02-2026;16-02-2026;EDENRED ITALIA SRL;Fattura;367,78;367,78;0,00;EUR;1;No
Si;1;Normale;1;87;16-02-2026;233226;11-02-2026;16-02-2026;EDENRED ITALIA SRL;Fattura;40,81;40,81;0,00;EUR;1;No
Si;1;Normale;1;86;12-02-2026;32;11-02-2026;12-02-2026;NISI FRANCESCO GIUSEPPE;Fattura;402,00;402,00;0,00;EUR;1;No
Si;1;Normale;1;85;12-02-2026;7599019319;11-02-2026;12-02-2026;INVISALIGN S.R.L.;Nota di debito;1,04;1,04;0,00;EUR;4;No
Si;1;Normale;1;84;12-02-2026;6598031513;11-02-2026;12-02-2026;INVISALIGN S.R.L.;Nota di credito;1,04;1,04;0,00;EUR;3;No
Si;1;Normale;1;83;12-02-2026;6598031503;11-02-2026;12-02-2026;INVISALIGN S.R.L.;Nota di credito;1,04;1,04;0,00;EUR;3;No
Si;1;Normale;1;82;12-02-2026;2026/00/0006267;05-02-2026;12-02-2026;J DENTAL CARE SRL;Nota di credito;1.471,62;-1.471,62;0,00;EUR;3;No
Si;1;Normale;1;81;11-02-2026;7599019318;11-02-2026;11-02-2026;INVISALIGN S.R.L.;Nota di debito;1,04;1,04;0,00;EUR;4;No
Si;1;Normale;1;80;11-02-2026;3901001608;10-02-2026;11-02-2026;DEUTSCHE BANK S.P.A.;Nota di credito;445,35;445,35;0,00;EUR;3;No
No;1;Normale;1;79;10-02-2026;2;10-02-2026;10-02-2026;PORCARI SERENA;Nota di credito;7.922,00;6.337,60;1.584,40;EUR;3;No
Si;1;Normale;1;78;10-02-2026;FPR 4/26;09-02-2026;10-02-2026;MACOVEI FELICIA;Parcella;175,00;175,00;0,00;EUR;252;No
Si;1;Normale;1;77;10-02-2026;9590690864;09-02-2026;10-02-2026;INVISALIGN S.R.L.;Fattura;196,56;196,56;0,00;EUR;1;No
No;1;Normale;1;76;10-02-2026;1;09-02-2026;10-02-2026;PORCARI SERENA;Nota di credito;5.541,00;4.432,80;1.108,20;EUR;3;No
Si;1;Normale;1;75;10-02-2026;VEN/401;06-02-2026;10-02-2026;WISIL LAB MILANO SRL;Fattura;100,00;100,00;0,00;EUR;1;No
Si;1;Normale;1;74;10-02-2026;NCI/397;06-02-2026;10-02-2026;WISIL LAB MILANO SRL;Nota di credito;100,00;100,00;0,00;EUR;3;No
Si;1;Normale;1;73;09-02-2026;7;31-01-2026;09-02-2026;MALVEDA MEL BRENIX;Fattura;567,67;567,67;0,00;EUR;252;No
